index,sub_index,vertex_1_x,vertex_1_y,vertex_1_z,vertex_2_x,vertex_2_y,vertex_2_z,vertex_3_x,vertex_3_y,vertex_3_z
7,13,-171.252,88.1160,49.9706,-136.723,135.641,49.9706,-160.969,116.951,8.78279e-15
7,14,-160.969,116.951,8.78279e-15,-171.252,88.1160,49.9706,-189.231,61.4848,8.35293e-15
7,15,-136.723,135.641,49.9706,-143.975,104.604,88.9816,-171.252,88.1160,49.9706
8,12,-189.231,-61.4848,8.35293e-15,-171.252,-88.1160,49.9706,-160.969,-116.951,8.78279e-15
8,13,-136.723,-135.641,49.9706,-171.252,-88.1160,49.9706,-160.969,-116.951,8.78279e-15
8,14,-160.969,-116.951,8.78279e-15,-136.723,-135.641,49.9706,-116.951,-160.969,8.35293e-15
8,15,-171.252,-88.1160,49.9706,-143.975,-104.604,88.9816,-136.723,-135.641,49.9706
9,12,-3.75882e-14,-198.969,8.35293e-15,30.8835,-190.099,49.9706,61.4848,-189.231,8.78279e-15
9,13,86.7524,-171.947,49.9706,30.8835,-190.099,49.9706,61.4848,-189.231,8.78279e-15
9,14,61.4848,-189.231,8.78279e-15,86.7524,-171.947,49.9706,116.951,-160.969,8.35293e-15
9,15,30.8835,-190.099,49.9706,54.9937,-169.253,88.9816,86.7524,-171.947,49.9706
10,0,177.963,0.00000,88.9816,190.339,29.3720,49.9706,165.354,47.5249,99.9412
10,1,171.472,84.6266,54.9937,190.339,29.3720,49.9706,165.354,47.5249,99.9412
10,2,165.354,47.5249,99.9412,171.472,84.6266,54.9937,136.929,99.4845,104.604
10,3,133.472,136.929,54.9937,171.472,84.6266,54.9937,136.929,99.4845,104.604
10,4,136.929,99.4845,104.604,133.472,136.929,54.9937,96.2959,142.575,99.9412
10,5,86.7524,171.947,49.9706,133.472,136.929,54.9937,96.2959,142.575,99.9412
10,6,96.2959,142.575,99.9412,86.7524,171.947,49.9706,54.9937,169.253,88.9816
10,7,190.339,29.3720,49.9706,189.231,61.4848,4.17647e-15,171.472,84.6266,54.9937
10,8,160.969,116.951,8.78279e-15,189.231,61.4848,4.17647e-15,171.472,84.6266,54.9937
10,9,171.472,84.6266,54.9937,160.969,116.951,1.31742e-14,133.472,136.929,54.9937
10,10,116.951,160.969,8.35293e-15,160.969,116.951,1.31742e-14,133.472,136.929,54.9937
10,11,133.472,136.929,54.9937,116.951,160.969,1.25294e-14,86.7524,171.947,49.9706
11,0,54.9937,169.253,88.9816,30.8835,190.099,49.9706,5.89823,171.947,99.9412
11,1,-27.4968,189.231,54.9937,30.8835,190.099,49.9706,5.89823,171.947,99.9412
11,2,5.89823,171.947,99.9412,-27.4968,189.231,54.9937,-52.3021,160.969,104.604
11,3,-88.9816,169.253,54.9937,-27.4968,189.231,54.9937,-52.3021,160.969,104.604
11,4,-52.3021,160.969,104.604,-88.9816,169.253,54.9937,-105.839,135.641,99.9412
11,5,-136.723,135.641,49.9706,-88.9816,169.253,54.9937,-105.839,135.641,99.9412
11,6,-105.839,135.641,99.9412,-136.723,135.641,49.9706,-143.975,104.604,88.9816
11,7,30.8835,190.099,49.9706,1.04412e-14,198.969,4.17647e-15,-27.4968,189.231,54.9937
11,8,-61.4848,189.231,8.78279e-15,1.04412e-14,198.969,4.17647e-15,-27.4968,189.231,54.9937
11,9,-27.4968,189.231,54.9937,-61.4848,189.231,1.31742e-14,-88.9816,169.253,54.9937
11,10,-116.951,160.969,8.35293e-15,-61.4848,189.231,1.31742e-14,-88.9816,169.253,54.9937
11,11,-88.9816,169.253,54.9937,-116.951,160.969,1.25294e-14,-136.723,135.641,49.9706
12,0,-143.975,104.604,88.9816,-171.252,88.1160,49.9706,-161.708,58.7440,99.9412
12,1,-188.466,32.3245,54.9937,-171.252,88.1160,49.9706,-161.708,58.7440,99.9412
12,2,-161.708,58.7440,99.9412,-188.466,32.3245,54.9937,-169.253,1.67059e-14,104.604
12,3,-188.466,-32.3245,54.9937,-188.466,32.3245,54.9937,-169.253,1.67059e-14,104.604
12,4,-169.253,1.67059e-14,104.604,-188.466,-32.3245,54.9937,-161.708,-58.7440,99.9412
12,5,-171.252,-88.1160,49.9706,-188.466,-32.3245,54.9937,-161.708,-58.7440,99.9412
12,6,-161.708,-58.7440,99.9412,-171.252,-88.1160,49.9706,-143.975,-104.604,88.9816
