index,sub_index,vertex_1_x,vertex_1_y,vertex_1_z,vertex_2_x,vertex_2_y,vertex_2_z,vertex_3_x,vertex_3_y,vertex_3_z
10,10,109.987,151.384,1.67059e-14,151.384,109.987,1.75656e-14,125.525,128.775,51.7190
10,11,125.525,128.775,51.7190,109.987,151.384,1.67059e-14,81.5865,161.708,46.9950
11,0,51.7190,159.175,83.6831,29.0445,178.780,46.9950,5.54701,161.708,93.9900
11,1,-25.8595,177.963,51.7190,29.0445,178.780,46.9950,5.54701,161.708,93.9900
11,2,5.54701,161.708,93.9900,-25.8595,177.963,51.7190,-49.1877,151.384,98.3753
11,3,-83.6831,159.175,51.7190,-25.8595,177.963,51.7190,-49.1877,151.384,98.3753
11,4,-49.1877,151.384,98.3753,-83.6831,159.175,51.7190,-99.5370,127.564,93.9900
11,5,-128.582,127.564,46.9950,-83.6831,159.175,51.7190,-99.5370,127.564,93.9900
11,6,-99.5370,127.564,93.9900,-128.582,127.564,46.9950,-135.402,98.3753,83.6831
11,7,29.0445,178.780,46.9950,8.35293e-15,187.121,1.67059e-14,-25.8595,177.963,51.7190
11,8,-57.8236,177.963,1.75656e-14,8.35293e-15,187.121,1.67059e-14,-25.8595,177.963,51.7190
11,9,-25.8595,177.963,51.7190,-57.8236,177.963,1.75656e-14,-83.6831,159.175,51.7190
11,10,-109.987,151.384,1.67059e-14,-57.8236,177.963,1.75656e-14,-83.6831,159.175,51.7190
11,11,-83.6831,159.175,51.7190,-109.987,151.384,1.67059e-14,-128.582,127.564,46.9950
12,0,-135.402,98.3753,83.6831,-161.054,82.8689,46.9950,-152.079,55.2459,93.9900
12,1,-177.244,30.3996,51.7190,-161.054,82.8689,46.9950,-152.079,55.2459,93.9900
12,2,-152.079,55.2459,93.9900,-177.244,30.3996,51.7190,-159.175,1.67059e-14,98.3753
12,3,-177.244,-30.3996,51.7190,-177.244,30.3996,51.7190,-159.175,1.67059e-14,98.3753
12,4,-159.175,1.67059e-14,98.3753,-177.244,-30.3996,51.7190,-152.079,-55.2459,93.9900
12,5,-161.054,-82.8689,46.9950,-177.244,-30.3996,51.7190,-152.079,-55.2459,93.9900
12,6,-152.079,-55.2459,93.9900,-161.054,-82.8689,46.9950,-135.402,-98.3753,83.6831
12,7,-161.054,82.8689,46.9950,-177.963,57.8236,1.67059e-14,-177.244,30.3996,51.7190
12,8,-187.121,2.19570e-14,1.75656e-14,-177.963,57.8236,1.67059e-14,-177.244,30.3996,51.7190
12,9,-177.244,30.3996,51.7190,-187.121,1.75656e-14,1.75656e-14,-177.244,-30.3996,51.7190
12,10,-177.963,-57.8236,1.67059e-14,-187.121,1.75656e-14,1.75656e-14,-177.244,-30.3996,51.7190
12,11,-177.244,-30.3996,51.7190,-177.963,-57.8236,1.67059e-14,-161.054,-82.8689,46.9950
13,0,-135.402,-98.3753,83.6831,-128.582,-127.564,46.9950,-99.5370,-127.564,93.9900
13,1,-83.6831,-159.175,51.7190,-128.582,-127.564,46.9950,-99.5370,-127.564,93.9900
13,2,-99.5370,-127.564,93.9900,-83.6831,-159.175,51.7190,-49.1877,-151.384,98.3753
13,3,-25.8595,-177.963,51.7190,-83.6831,-159.175,51.7190,-49.1877,-151.384,98.3753
13,4,-49.1877,-151.384,98.3753,-25.8595,-177.963,51.7190,5.54701,-161.708,93.9900
13,5,29.0445,-178.780,46.9950,-25.8595,-177.963,51.7190,5.54701,-161.708,93.9900
13,6,5.54701,-161.708,93.9900,29.0445,-178.780,46.9950,51.7190,-159.175,83.6831
13,7,-128.582,-127.564,46.9950,-109.987,-151.384,1.67059e-14,-83.6831,-159.175,51.7190
13,8,-57.8236,-177.963,1.75656e-14,-109.987,-151.384,1.67059e-14,-83.6831,-159.175,51.7190
13,9,-83.6831,-159.175,51.7190,-57.8236,-177.963,1.75656e-14,-25.8595,-177.963,51.7190
13,10,-3.34117e-14,-187.121,1.67059e-14,-57.8236,-177.963,1.75656e-14,-25.8595,-177.963,51.7190
13,11,-25.8595,-177.963,51.7190,-3.34117e-14,-187.121,1.67059e-14,29.0445,-178.780,46.9950
14,0,51.7190,-159.175,83.6831,81.5865,-161.708,46.9950,90.5618,-134.085,93.9900
14,1,125.525,-128.775,51.7190,81.5865,-161.708,46.9950,90.5618,-134.085,93.9900
14,2,90.5618,-134.085,93.9900,125.525,-128.775,51.7190,128.775,-93.5605,98.3753
14,3,161.262,-79.5873,51.7190,125.525,-128.775,51.7190,128.775,-93.5605,98.3753
14,4,128.775,-93.5605,98.3753,161.262,-79.5873,51.7190,155.507,-44.6949,93.9900
14,5,179.005,-27.6230,46.9950,161.262,-79.5873,51.7190,155.507,-44.6949,93.9900
14,6,155.507,-44.6949,93.9900,179.005,-27.6230,46.9950,167.366,-3.55271e-14,83.6831
14,7,81.5865,-161.708,46.9950,109.987,-151.384,1.67059e-14,125.525,-128.775,51.7190
14,8,151.384,-109.987,1.75656e-14,109.987,-151.384,1.67059e-14,125.525,-128.775,51.7190
14,9,125.525,-128.775,51.7190,151.384,-109.987,1.75656e-14,161.262,-79.5873,51.7190
14,10,177.963,-57.8236,1.67059e-14,151.384,-109.987,1.75656e-14,161.262,-79.5873,51.7190
14,11,161.262,-79.5873,51.7190,177.963,-57.8236,1.67059e-14,179.005,-27.6230,46.9950
